checkpoint_step,batch_size,epsilon,mean_delta_loss,stderr_delta_loss,mean_loss_change,stderr_loss_change,n
500,4,0.0003,4.9056863784791015e-05,5.3030696325776863e-05,-4.9056863784791015e-05,5.3030696325776863e-05,10
500,4,0.001,0.00015540472269058025,0.00017120585474307193,-0.00015540472269058025,0.00017120585474307193,10
500,4,0.002,0.00028794927597045603,0.000326791717092233,-0.00028794927597045603,0.000326791717092233,10
500,4,0.003,0.00039726835489272696,0.0004666404196862338,-0.00039726835489272696,0.0004666404196862338,10
500,4,0.005,0.0005463071227073651,0.0006996167344588745,-0.0005463071227073651,0.0006996167344588745,10
500,4,0.007,0.0006035034537315326,0.0008731587880726796,-0.0006035034537315326,0.0008731587880726796,10
500,4,0.01,0.0005165562391281047,0.0010267533970177661,-0.0005165562391281047,0.0010267533970177661,10
500,4,0.015,-0.00010486201047897603,0.0010387624287458033,0.00010486201047897603,0.0010387624287458033,10
500,4,0.02,-0.0013728071808815079,0.0009922982413810364,0.0013728071808815079,0.0009922982413810364,10
500,4,0.03,-0.0063530492782592814,0.0033681729016309214,0.0063530492782592814,0.0033681729016309214,10
500,4,0.05,-0.030229753410816202,0.020567117386026682,0.030229753410816202,0.020567117386026682,10
500,4,0.07,-0.0742883628964424,0.053579044579906324,0.0742883628964424,0.053579044579906324,10
500,4,0.1,-0.17762493398189544,0.1292167609421925,0.17762493398189544,0.1292167609421925,10
500,4,0.15,-0.4574050033688545,0.32772595167801183,0.4574050033688545,0.32772595167801183,10
500,4,0.2,-0.8641617079854014,0.6053381099906957,0.8641617079854014,0.6053381099906957,10
500,4,0.3,-1.9991217976093296,1.3321270998718429,1.9991217976093296,1.3321270998718429,10
500,4,0.5,-5.3252135470390325,3.305109561702972,5.3252135470390325,3.305109561702972,10
500,4,1.0,-18.741750065517426,10.9273538976131,18.741750065517426,10.9273538976131,10
500,8,0.0001,1.8773388862605712e-05,6.3128904687935715e-06,-1.8773388862605712e-05,6.3128904687935715e-06,10
500,8,0.0003,5.59780001640281e-05,1.884470206654054e-05,-5.59780001640281e-05,1.884470206654054e-05,10
500,8,0.001,0.00018279597759246756,6.183309241827753e-05,-0.00018279597759246756,6.183309241827753e-05,10
500,8,0.002,0.00035481147766112665,0.0001208980169329811,-0.00035481147766112665,0.0001208980169329811,10
500,8,0.003,0.0005162065029144291,0.00017727748399082104,-0.0005162065029144291,0.00017727748399082104,10
500,8,0.005,0.0008070286154746975,0.00028273951659294676,-0.0008070286154746975,0.00028273951659294676,10
500,8,0.007,0.0010555054783821071,0.00037929289066504545,-0.0010555054783821071,0.00037929289066504545,10
500,8,0.01,0.0013496175646781905,0.0005095157185507721,-0.0013496175646781905,0.0005095157185507721,10
500,8,0.015,0.0016335913419723487,0.0006994693325505656,-0.0016335913419723487,0.0006994693325505656,10
500,8,0.02,0.0016631600618362385,0.0008766109084109085,-0.0016631600618362385,0.0008766109084109085,10
500,8,0.03,0.0009635212302207929,0.0013091878237998119,-0.0009635212302207929,0.0013091878237998119,10
500,8,0.05,-0.0035881435513496402,0.0031213657466147315,0.0035881435513496402,0.0031213657466147315,10
500,8,0.07,-0.012844201207160951,0.006724218845513311,0.012844201207160951,0.006724218845513311,10
500,8,0.1,-0.03698209034204484,0.015942547383875374,0.03698209034204484,0.015942547383875374,10
500,8,0.15,-0.10768202198743819,0.04079891886623345,0.10768202198743819,0.04079891886623345,10
500,8,0.2,-0.21797129571437837,0.07604693899667467,0.21797129571437837,0.07604693899667467,10
